Account,Account ID,Total,Amazon Kinesis,Amazon Elastic Compute Cloud - Compute,EC2 - Other,Amazon Managed Streaming for Apache Kafka,Amazon Simple Storage Service,AmazonCloudWatch,Amazon DynamoDB,Amazon Kinesis Analytics,Amazon Timestream,Amazon Elastic Container Service for Kubernetes,Amazon Elastic Container Service,Amazon OpenSearch Service,CloudWatch Events,Amazon Virtual Private Cloud,AWS Lambda,AWS IoT,Amazon Relational Database Service,Amazon Elastic Load Balancing,AWS Glue,Amazon ElastiCache,AWS Key Management Service,AWS Config,Amazon Simple Queue Service,AWS Support (Business),Amazon Kinesis Firehose,Amazon SageMaker,AWS Backup,AWS Secrets Manager,Amazon Managed Service for Prometheus,AWS App Runner,Amazon EC2 Container Registry (ECR),Amazon Simple Notification Service,AWS CloudTrail,AWS Amplify,Amazon Route 53,Amazon Lightsail,AWS CodeArtifact,AWS WAF,Amazon API Gateway,AWS Systems Manager,Amazon Elastic File System,AWS Cost Explorer,AWS IoT Device Management,AWS Cloud Map,AWS Greengrass,AWS Payment Cryptography,Amazon Location Service,Amazon Simple Email Service,Amazon Bedrock,Amazon CloudFront,AWS CloudShell,AWS Step Functions
wifi-dev,293458465855,6540.04,617.43,319.22,559.81,821.41,929.48,215.13,751.35,0,0,72.0,478.21,0,359.43,166.24,214.84,354.29,106.77,59.24,67.97,0.92,315.54,0,65.12,0,46.98,0,0,15.89,0,0,0,0.0,0,0,1.63,0,0,0.36,0,0,0.35,0.22,0.22,0,0,0,0.0,0,0.0,0.0,0.0,0
wifi-prd-jpn,960996363803,6401.56,317.91,625.71,959.68,994.64,1039.09,281.53,462.23,0,0,180.0,0,0,420.4,21.61,244.86,387.31,0,17.72,287.94,0,0.0,0,67.4,0,90.37,0,0,1.99,0,0,0,0.0,0,0,1.12,0,0,0,0,0,0,0.04,0,0,0,0,0.0,0,0,0.0,0.0,0
ilaas-dev,478621777251,5816.59,973.46,315.99,91.17,0,515.06,463.44,237.67,481.6,280.29,0,430.95,1058.68,7.03,161.19,121.98,0.12,84.32,98.1,0,90.08,1.0,160.83,18.45,100.0,0,0,45.53,7.18,0,42.33,0.09,5.44,18.35,0,1.52,0,0,0,4.12,0,0.34,0.06,0,0.2,0,0.01,0.0,0.0,0,0.0,0.0,0
ilaas-prd-apac,590184005840,5226.5,1087.72,9.79,83.26,0,2.52,686.76,144.09,636.81,1401.57,0,230.16,240.48,9.24,126.76,97.13,0.01,110.4,52.54,0,108.85,0.0,122.0,28.54,0,0.72,0,27.4,5.97,0,0,0,8.6,0,0,0.23,0,0,0,4.87,0,0.03,0.05,0,0,0,0.01,0.0,0.0,0,0,0,0
wifi-int,059176766147,4301.54,418.45,282.22,408.13,794.29,352.93,461.53,162.69,0,0,180.0,179.45,0,244.03,132.34,198.13,181.04,106.76,32.8,46.88,0,6.98,0,60.64,0,41.02,0,0,9.24,0,0,0,0.0,0,0,1.55,0,0,0,0,0,0.05,0.39,0,0,0,0,0.0,0,0,0.0,0,0
zainar,595572147606,3721.77,442.08,1487.25,1131.21,0,78.3,33.4,33.31,0,0,0,0,0,0,90.01,0,0.14,0,70.21,0,0,5.98,0.46,0.0,100.0,0,173.92,0,0.0,0,0,13.54,0.0,0.18,14.94,4.44,13.55,10.8,9.96,0,4.93,1.52,1.47,0.01,0,0.16,0.01,0.0,0,0,0,0,0.0
wifi-prd-us,060064645249,3056.23,396.0,490.32,110.34,701.23,0.36,57.82,0.75,0,0,990.68,0,0,0,133.94,0.0,0.01,95.25,50.89,11.79,0,5.97,0,2.07,0,0,0,0,7.57,0,0,0.11,0.0,0,0,0.72,0,0,0,0,0,0.0,0.39,0,0,0,0,0.0,0,0,0,0,0
ilaas-int,308464974054,2344.72,556.11,7.89,34.35,0,6.22,451.36,136.8,410.91,99.63,0,156.69,0,0.0,100.82,78.29,0.0,84.32,48.91,0,90.07,0.0,22.87,16.73,0,0.5,0,28.44,6.37,0,0,0,4.97,0,0,1.01,0,0,0,1.18,0,0.04,0.22,0,0,0,0.01,0.0,0.0,0,0.0,0,0
ilaas-prd-us,249281617647,1732.94,403.2,7.49,32.93,0,0.11,190.04,114.55,495.08,3.0,0,183.39,0,0,57.83,0,0.0,84.32,32.69,0,90.0,0.0,32.39,0.66,0,0.35,0,0,3.58,0,0,0,0.0,0,0,1.0,0,0,0,0,0,0.03,0.28,0,0,0,0.01,0.0,0,0,0.0,0,0
shared-infra-prd,132880291562,1026.39,0,415.51,197.54,0,0.25,70.6,0.56,0,0,144.0,35.55,0,0,28.82,0,0,13.81,52.26,0,0,6.01,0,0.0,0,0,0,0,1.59,57.6,0,0,0.0,0,0,0.12,0,0,0,0,0,2.14,0.02,0,0,0,0,0.0,0,0,0,0,0
grafana-prod,454096720892,354.3,0,119.81,39.19,0,0,10.63,0,0,0,180.0,0,0,0,3.6,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0
int-dev,665148431302,14.86,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,14.29,0.0,0,0,0,0,0.52,0,0,0,0,0.05,0,0,0,0,0.0,0,0,0,0,0
TOTAL,,40537.46,5212.36,4081.18,3647.61,3311.58,2924.32,2922.23,2044.02,2024.4,1784.5,1746.68,1694.4,1299.16,1040.13,1023.16,955.24,922.91,685.93,515.37,414.58,379.92,342.5,338.56,259.61,200.0,179.94,173.92,101.38,59.8,57.6,42.33,28.03,19.01,18.54,14.94,13.84,13.55,11.31,10.32,10.18,4.98,4.51,3.87,0.23,0.2,0.16,0.04,0.01,0.0,0.0,0.0,0.0,0.0
